he_displaced_threshold_ft,lighted,le_displaced_threshold_ft,le_elevation_ft,airport_ref,le_longitude_deg,surface,airport_ident,he_longitude_deg,width_ft,le_heading_degT,he_latitude_deg,length_ft,he_heading_degT,he_elevation_ft,id,le_ident,he_ident,le_latitude_deg,closed
,1,,,6523,,ASPH-G,00A,,80,,,80,,,269408,H1,,,0
,0,,,6524,,GRVL,00AK,,70,,,2500,,,255155,N,S,,0
,0,,,6525,,TURF,00AL,,200,,,2300,,,254165,01,19,,0
,0,,,6526,,GRASS,00AR,,40,,,40,,,270932,H1,H1,,0
,0,,,322127,,Turf,00AS,,60,,,1450,,,322128,1,19,,0
,0,,,6527,,GRAVEL,00AZ,,60,,,1700,,,257681,15,33,,0
,0,,,6528,-116.893,ASPH,00CA,-116.878,80,50,35.3603,6000,,,245528,04,22,35.3493,0
,0,,,6529,,TURF-G,00CO,,20,,,3900,,,250597,16,34,,0
800,0,,,6531,,TURF,00FA,,100,,,3200,,,247972,08,26,,0
,0,,,6532,,TURF,00FD,,74,,,74,,,265037,H1,,,0
,0,,,6533,,TURF,00FL,,100,,,4090,,,250414,12,30,,0
,0,,,6534,,TURF,00GA,,80,,,2600,,,253429,09,27,,0
,1,,,6535,,ASPH,00GE,,95,,,125,,,265038,H1,,,0
,0,,,6536,,ASPH-G,00HI,,45,,,1155,,,265039,H1,,,0
,0,,,6537,,TURF,00ID,,40,,,3300,,,246648,08,26,,0
,0,,,6537,,TURF,00ID,,40,,,2700,,,246649,11,29,,0
350,0,290,,6539,,TURF-F,00IL,,75,,,2500,,,252182,18,36,,0
,1,,,6540,,MATS,00IN,,40,,,40,,,265040,H1,,,0
,0,,,6541,,TURF,00IS,,70,,,1600,,,254597,09,24,,0
,0,,,6542,,TURF,00KS,,85,,,2600,,,256603,17,35,,0
,0,,,6543,,TURF,00KY,,100,,,2100,,,251984,01,19,,0
,0,,,45437,,TURF,00LA,,40,,,40,,,264322,H1,,,0
,0,,,6544,,CONC,00LL,,25,,,25,,,265041,H1,,,0
,0,,,6545,,TURF,00LS,,100,,,2600,,,255958,18,36,,0
,0,,,6546,,TURF,00MD,,75,,,1700,,,255848,14,32,,0
,0,,,6547,,TURF,00MI,,100,,,100,,,265042,H1,,,0
,1,,,6548,,TURF-G,00MN,,200,,,2949,,,255865,06,24,,0
,0,,,6549,,TURF,00MO,,25,,,2400,,,254820,08,26,,0
,1,,,6551,,TURF-G,00N,,150,,,1900,,,249208,18,36,,0
,0,,,6552,,ASPH-G,00NC,,36,,,2650,,,249382,05,23,,0
,0,,,6553,,ASPH,00NJ,,50,,,50,,,269409,H1,,,0
,1,,,6554,,TURF,00NY,,80,,,2350,,,248635,03,21,,0
,0,,,6555,,TURF-G,00OH,,90,,,2695,,,255568,08,26,,0
,0,,,6556,,CONC,00OI,,42,,,42,,,269410,H1,,,0
,0,,,328503,,Turf/Dirt,00OK,,60,,,2200,,,328512,17,35,,0
,0,,,6558,,TURF-G,00PA,,80,,,80,,,269411,H1,,,0
,0,,,45773,,TURF,00PN,,75,,,500,,,264557,12,30,,0
1072,0,1335,,6559,,TURF-G,00PS,,100,,,3100,,,251695,08,26,,0
,0,,,6560,,TURF-P,00S,,90,,,2600,,,250124,06,24,,0
,0,,,6561,,TURF,00SC,,100,,,2900,,,250457,08,26,,0
,0,,,330391,,Turf,00SD,,50,,,2400,,,330392,18,36,,0
,0,,,6562,,CONC-G,00TA,,85,,,85,,,269412,H1,,,0
,0,,,6563,,TURF,00TE,,48,,,48,,,269413,H1,,,0
,0,,,6564,,TURF,00TN,,150,,,1800,,,251439,09,27,,0
,0,,,6565,,TURF,00TS,,45,,,1200,,,248688,01,19,,0
,0,,,6566,,CONC,00TX,,50,,,50,,,269414,H1,,,0
,0,,,6568,,TURF,00VA,,100,,,1300,270,,251342,01,19,,0
,0,,,6569,,TURF,00VI,,50,,,1500,,,247311,09,27,,0
,0,,,6570,,GRAVEL-F,00W,,50,,,3400,,,254777,14,32,,0
,0,,,6571,,TURF-G,00WA,,70,,,1105,,,247637,08,26,,0
200,0,,,6572,-89.052,TURF,00WI,-89.0482,60,87.2,44.3044,1000,,,240309,09,27,44.3042,0
,0,,,6573,,TURF-G,00WN,,50,,,1440,,,250630,05,23,,0
,0,,,6574,,TURF,00WV,,100,,,1800,,,251212,05,23,,0
,0,,,6575,,TURF-F,00XS,,75,,,1475,,,253285,17,35,,0
,0,,,6576,,GRAVEL-F,01A,,40,,,1175,,,252236,08,26,,0
,1,,,6577,,CONC,01AK,,40,,,40,,,265043,H1,,,0
,1,,,6578,,TURF,01AL,,160,,,2500,,,252134,N,S,,0
,1,,,6579,,CONC,01AR,,55,,,55,,,265044,H1,,,0
,0,,,6580,,TURF,01AZ,,150,,,210,,,265045,H1,,,0
580,1,387,815,6581,-85.7799,TURF-G,01C,-85.7703,120,,43.3417,2517,,815,256815,09,27,43.3417,0
,0,,,6582,,ASPH,01CA,,20,,,20,,,265046,H1,,,0
,1,500,,6583,,ASPH-TRTD,01CL,,50,,,3100,,,246361,09,27,,0
,0,,,6584,,ASPH,01CN,,60,,,60,,,265047,H1,,,0
,0,,,6585,,ASPH,01CO,,40,,,125,,,265048,H1,,,0
,0,,,6586,,TURF-GRVL,01CT,,70,,,70,,,265049,H1,,,0
,0,,,6587,,TURF,01FA,,100,,,2000,,,256042,10,28,,0
,0,,,6587,,TURF,01FA,,100,,,1500,,,256043,18,36,,0
,0,,,6588,,CONC,01FD,,110,,,110,,,265050,H1,,,0
800,1,,,6589,,TURF,01FL,,50,,,3000,,,254779,18,36,,0
,0,,,6590,,CONC,01GA,,65,,,65,,,265051,H1,,,0
,0,,,6591,,TURF,01GE,,75,,,2560,,,251847,10,28,,0
,1,275,,6592,,TURF-F,01IA,,50,,,2575,,,253118,17,35,,0
,0,,,6530,-112.035,TURF-F,01ID,-112.031,100,,42.6037,2894,,,258036,14,32,42.611,0
,0,,,6594,,TURF,01IL,,216,,,416,,,265052,H1,,,0
,0,,,6595,,ASPH,01IN,,45,,,45,,,265053,H1,,,0
,0,,,6596,,TURF,01IS,,100,,,1300,,,252362,09,27,,0
370,1,795,59,6597,-81.9064,TURF-P,01J,-81.905,125,,30.6817,3365,,59,254664,18,36,30.6909,0
,1,,1157,6598,,TURF-G,01K,,110,,,2460,,,249830,17,35,,0
,0,,,6599,,TURF,01KS,,100,,,2400,,,255679,18,36,,0
,0,,,6600,,CONC,01KY,,40,,,40,,,265054,H1,,,0
,0,,,6601,,TURF,01LA,,60,,,2000,,,253175,09,27,,0
,0,,,6602,,TURF,01LL,,70,,,1600,,,253330,02,20,,0
,0,,,6603,-91.0802,TURF,01LS,-91.0745,150,92.2,30.7225,1800,,,240115,09,27,30.7227,0
,0,,,6604,,TURF,01MA,,32,,,32,,,265055,H1,,,0
,0,,,6605,,WATER,01MD,,100,,,3500,,,257883,16,34,,0
,0,,,6606,,WATER,01ME,,500,,,5000,,,256660,02,20,,0
,0,,,6606,,WATER,01ME,,500,,,5000,,,256661,15,33,,0
,0,,,6607,,CONC,01MI,,50,,,50,,,265056,H1,,,0
,0,,,6608,,WATER,01MN,,600,,,10000,,,249395,E,W,,0
,0,,,6608,,WATER,01MN,,600,,,10000,,,249396,NW,SE,,0
,0,,,6609,,CONC,01MO,,37,,,37,,,269415,H1,,,0
